dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.8,0.7998789709,-0.0001210291,14,13,0.9285714286,0.8614081225,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\HDFS_groups.csv,data\gtld\diversity_0_8\HDFS\HDFS.log
Hadoop,0.8,0.8003531229,0.0003531229,88,79,0.8977272727,0.8915325926,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_8\Hadoop\Hadoop.log
Spark,0.8,0.8003632121,0.0003632121,24,21,0.8750000000,0.9147008138,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Spark_groups.csv,data\gtld\diversity_0_8\Spark\Spark.log
Zookeeper,0.8,0.7997761667,-0.0002238333,38,34,0.8947368421,0.8938674805,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_8\Zookeeper\Zookeeper.log
BGL,0.8,0.8001774743,0.0001774743,100,89,0.8900000000,0.8990758138,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\BGL_groups.csv,data\gtld\diversity_0_8\BGL\BGL.log
HPC,0.8,0.7999436686,-0.0000563314,26,23,0.8846153846,0.9042841471,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\HPC_groups.csv,data\gtld\diversity_0_8\HPC\HPC.log
Thunderbird,0.8,0.8000367921,0.0000367921,103,92,0.8932038835,0.8956933651,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_8\Thunderbird\Thunderbird.log
Windows,0.8,0.7997932324,-0.0002067676,30,27,0.9000000000,0.8886591471,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Windows_groups.csv,data\gtld\diversity_0_8\Windows\Windows.log
Linux,0.8,0.7999547396,-0.0000452604,71,64,0.9014084507,0.8874497892,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Linux_groups.csv,data\gtld\diversity_0_8\Linux\Linux.log
Android,0.8,0.8000949903,0.0000949903,109,97,0.8899082569,0.8990758138,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Android_groups.csv,data\gtld\diversity_0_8\Android\Android.log
HealthApp,0.8,0.7997625791,-0.0002374209,51,46,0.9019607843,0.8866932943,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_8\HealthApp\HealthApp.log
Apache,0.8,0.7996749674,-0.0003250326,6,5,0.8333333333,0.9596099609,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Apache_groups.csv,data\gtld\diversity_0_8\Apache\Apache.log
OpenSSH,0.8,0.8003632121,0.0003632121,24,21,0.8750000000,0.9147008138,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_8\OpenSSH\OpenSSH.log
OpenStack,0.8,0.7999519374,-0.0000480626,41,37,0.9024390244,0.8864332279,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_8\OpenStack\OpenStack.log
Mac,0.8,0.8004068369,0.0004068369,235,210,0.8936170213,0.8956933651,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Mac_groups.csv,data\gtld\diversity_0_8\Mac\Mac.log
Proxifier,0.8,0.8003632121,0.0003632121,8,7,0.8750000000,0.9147008138,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_8\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_8\Proxifier\Proxifier.log
