dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.6,0.6000707560,0.0000707560,14,11,0.7857142857,0.7637264168,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\HDFS_groups.csv,data\gtld\diversity_0_6\HDFS\HDFS.log
Hadoop,0.6,0.5996685606,-0.0003314394,88,68,0.7727272727,0.7760416667,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_6\Hadoop\Hadoop.log
Spark,0.6,0.5998945909,-0.0001054091,24,19,0.7916666667,0.7577615885,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Spark_groups.csv,data\gtld\diversity_0_6\Spark\Spark.log
Zookeeper,0.6,0.5999817863,-0.0000182137,38,29,0.7631578947,0.7861830304,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_6\Zookeeper\Zookeeper.log
BGL,0.6,0.6001375533,0.0001375533,100,77,0.7700000000,0.7793994199,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\BGL_groups.csv,data\gtld\diversity_0_6\BGL\BGL.log
HPC,0.6,0.5997528868,-0.0002471132,26,20,0.7692307692,0.7796787528,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\HPC_groups.csv,data\gtld\diversity_0_6\HPC\HPC.log
Thunderbird,0.6,0.6001153541,0.0001153541,103,80,0.7766990291,0.7726485185,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_6\Thunderbird\Thunderbird.log
Windows,0.6,0.5999828150,-0.0000171850,30,23,0.7666666667,0.7825862805,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Windows_groups.csv,data\gtld\diversity_0_6\Windows\Windows.log
Linux,0.6,0.5999418742,-0.0000581258,71,55,0.7746478873,0.7744704194,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Linux_groups.csv,data\gtld\diversity_0_6\Linux\Linux.log
Android,0.6,0.6000181049,0.0000181049,109,84,0.7706422018,0.7785949219,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Android_groups.csv,data\gtld\diversity_0_6\Android\Android.log
HealthApp,0.6,0.6002742722,0.0002742722,51,40,0.7843137255,0.7653496970,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_6\HealthApp\HealthApp.log
Apache,0.6,0.6000719004,0.0000719004,6,5,0.8333333333,0.7200862805,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Apache_groups.csv,data\gtld\diversity_0_6\Apache\Apache.log
OpenSSH,0.6,0.5998945909,-0.0001054091,24,19,0.7916666667,0.7577615885,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_6\OpenSSH\OpenSSH.log
OpenStack,0.6,0.6000122205,0.0000122205,41,32,0.7804878049,0.7687656575,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_6\OpenStack\OpenStack.log
Mac,0.6,0.6001349926,0.0001349926,235,182,0.7744680851,0.7748995784,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Mac_groups.csv,data\gtld\diversity_0_6\Mac\Mac.log
Proxifier,0.6,0.6003840646,0.0003840646,8,6,0.7500000000,0.8005120861,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_6\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_6\Proxifier\Proxifier.log
