dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.1,0.1002013509,0.0002013509,14,4,0.2857142857,0.3507047280,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\HDFS_groups.csv,data\gtld\diversity_0_1\HDFS\HDFS.log
Hadoop,0.1,0.1001498905,0.0001498905,88,28,0.3181818182,0.3147567986,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_1\Hadoop\Hadoop.log
Spark,0.1,0.0997693784,-0.0002306216,24,8,0.3333333333,0.2993081353,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Spark_groups.csv,data\gtld\diversity_0_1\Spark\Spark.log
Zookeeper,0.1,0.0999347377,-0.0000652623,38,12,0.3157894737,0.3164600027,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_1\Zookeeper\Zookeeper.log
BGL,0.1,0.0999301250,-0.0000698750,100,32,0.3200000000,0.3122816407,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\BGL_groups.csv,data\gtld\diversity_0_1\BGL\BGL.log
HPC,0.1,0.1000533739,0.0000533739,26,8,0.3076923077,0.3251734653,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\HPC_groups.csv,data\gtld\diversity_0_1\HPC\HPC.log
Thunderbird,0.1,0.0999721042,-0.0000278958,103,33,0.3203883495,0.3120341435,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_1\Thunderbird\Thunderbird.log
Windows,0.1,0.1000000000,0.0000000000,30,9,0.3000000000,0.3333333333,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Windows_groups.csv,data\gtld\diversity_0_1\Windows\Windows.log
Linux,0.1,0.0999910248,-0.0000089752,71,22,0.3098591549,0.3226983073,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Linux_groups.csv,data\gtld\diversity_0_1\Linux\Linux.log
Android,0.1,0.1000138043,0.0000138043,109,34,0.3119266055,0.3206324901,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Android_groups.csv,data\gtld\diversity_0_1\Android\Android.log
HealthApp,0.1,0.1001287456,0.0001287456,51,16,0.3137254902,0.3191603767,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_1\HealthApp\HealthApp.log
Apache,0.1,0.0997693784,-0.0002306216,6,2,0.3333333333,0.2993081353,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Apache_groups.csv,data\gtld\diversity_0_1\Apache\Apache.log
OpenSSH,0.1,0.0997693784,-0.0002306216,24,8,0.3333333333,0.2993081353,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_1\OpenSSH\OpenSSH.log
OpenStack,0.1,0.0999055807,-0.0000944193,41,13,0.3170731707,0.3150868313,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_1\OpenStack\OpenStack.log
Mac,0.1,0.0999755663,-0.0000244337,235,74,0.3148936170,0.3174899740,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Mac_groups.csv,data\gtld\diversity_0_1\Mac\Mac.log
Proxifier,0.1,0.0995330078,-0.0004669922,8,3,0.3750000000,0.2654213541,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_1\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_1\Proxifier\Proxifier.log
