dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.4,0.4000134207,0.0000134207,14,9,0.6428571429,0.6222430989,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\HDFS_groups.csv,data\gtld\diversity_0_4\HDFS\HDFS.log
Hadoop,0.4,0.4000375084,0.0000375084,88,56,0.6363636364,0.6286303703,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_4\Hadoop\Hadoop.log
Spark,0.4,0.4000464963,0.0000464963,24,15,0.6250000000,0.6400743941,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Spark_groups.csv,data\gtld\diversity_0_4\Spark\Spark.log
Zookeeper,0.4,0.3999147304,-0.0000852696,38,24,0.6315789474,0.6331983231,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_4\Zookeeper\Zookeeper.log
BGL,0.4,0.3999656183,-0.0000343817,100,63,0.6300000000,0.6348660608,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\BGL_groups.csv,data\gtld\diversity_0_4\BGL\BGL.log
HPC,0.4,0.4000289062,0.0000289062,26,16,0.6153846154,0.6500469725,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\HPC_groups.csv,data\gtld\diversity_0_4\HPC\HPC.log
Thunderbird,0.4,0.3999952984,-0.0000047016,103,65,0.6310679612,0.6338387036,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_4\Thunderbird\Thunderbird.log
Windows,0.4,0.3999489935,-0.0000510065,30,19,0.6333333333,0.6314984107,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Windows_groups.csv,data\gtld\diversity_0_4\Windows\Windows.log
Linux,0.4,0.3999234923,-0.0000765077,71,45,0.6338028169,0.6309903989,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Linux_groups.csv,data\gtld\diversity_0_4\Linux\Linux.log
Android,0.4,0.3997558747,-0.0002441253,109,69,0.6330275229,0.6314984107,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Android_groups.csv,data\gtld\diversity_0_4\Android\Android.log
HealthApp,0.4,0.3998359382,-0.0001640618,51,32,0.6274509804,0.6372385265,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_4\HealthApp\HealthApp.log
Apache,0.4,0.4000345736,0.0000345736,6,4,0.6666666667,0.6000518604,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Apache_groups.csv,data\gtld\diversity_0_4\Apache\Apache.log
OpenSSH,0.4,0.4000464963,0.0000464963,24,15,0.6250000000,0.6400743941,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_4\OpenSSH\OpenSSH.log
OpenStack,0.4,0.4001402530,0.0001402530,41,26,0.6341463415,0.6309903989,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_4\OpenStack\OpenStack.log
Mac,0.4,0.4000747636,0.0000747636,235,149,0.6340425532,0.6309903989,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Mac_groups.csv,data\gtld\diversity_0_4\Mac\Mac.log
Proxifier,0.4,0.4000464963,0.0000464963,8,5,0.6250000000,0.6400743941,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_4\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_4\Proxifier\Proxifier.log
