dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.7,0.6997113281,-0.0002886719,14,12,0.8571428571,0.8163298828,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\HDFS_groups.csv,data\gtld\diversity_0_7\HDFS\HDFS.log
Hadoop,0.7,0.6995984242,-0.0004015758,88,74,0.8409090909,0.8319548828,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_7\Hadoop\Hadoop.log
Spark,0.7,0.6998485785,-0.0001514215,24,20,0.8333333333,0.8398182943,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Spark_groups.csv,data\gtld\diversity_0_7\Spark\Spark.log
Zookeeper,0.7,0.7000989309,0.0000989309,38,32,0.8421052632,0.8313674805,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_7\Zookeeper\Zookeeper.log
BGL,0.7,0.7000000000,0.0000000000,100,84,0.8400000000,0.8333333333,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\BGL_groups.csv,data\gtld\diversity_0_7\BGL\BGL.log
HPC,0.7,0.6995547726,-0.0004452274,26,22,0.8461538462,0.8267465494,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\HPC_groups.csv,data\gtld\diversity_0_7\HPC\HPC.log
Thunderbird,0.7,0.7000247191,0.0000247191,103,86,0.8349514563,0.8384016984,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_7\Thunderbird\Thunderbird.log
Windows,0.7,0.6998485785,-0.0001514215,30,25,0.8333333333,0.8398182943,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Windows_groups.csv,data\gtld\diversity_0_7\Windows\Windows.log
Linux,0.7,0.6999988932,-0.0000011068,71,59,0.8309859155,0.8423715494,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Linux_groups.csv,data\gtld\diversity_0_7\Linux\Linux.log
Android,0.7,0.6999500418,-0.0000499582,109,91,0.8348623853,0.8384016984,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Android_groups.csv,data\gtld\diversity_0_7\Android\Android.log
HealthApp,0.7,0.6999372406,-0.0000627594,51,43,0.8431372549,0.8301581225,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_7\HealthApp\HealthApp.log
Apache,0.7,0.6998485785,-0.0001514215,6,5,0.8333333333,0.8398182943,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Apache_groups.csv,data\gtld\diversity_0_7\Apache\Apache.log
OpenSSH,0.7,0.6998485785,-0.0001514215,24,20,0.8333333333,0.8398182943,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_7\OpenSSH\OpenSSH.log
OpenStack,0.7,0.6996951220,-0.0003048780,41,34,0.8292682927,0.8437500000,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_7\OpenStack\OpenStack.log
Mac,0.7,0.7001032261,0.0001032261,235,197,0.8382978723,0.8351485185,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Mac_groups.csv,data\gtld\diversity_0_7\Mac\Mac.log
Proxifier,0.7,0.7004480753,0.0004480753,8,7,0.8750000000,0.8005120861,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_7\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_7\Proxifier\Proxifier.log
