dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.5,0.4998186738,-0.0001813262,14,10,0.7142857143,0.6997461433,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\HDFS_groups.csv,data\gtld\diversity_0_5\HDFS\HDFS.log
Hadoop,0.5,0.4999945006,-0.0000054994,88,62,0.7045454545,0.7096696138,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_5\Hadoop\Hadoop.log
Spark,0.5,0.5001349431,0.0001349431,24,17,0.7083333333,0.7060728608,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Spark_groups.csv,data\gtld\diversity_0_5\Spark\Spark.log
Zookeeper,0.5,0.4998991272,-0.0001008728,38,27,0.7105263158,0.7035617346,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_5\Zookeeper\Zookeeper.log
BGL,0.5,0.5001675091,0.0001675091,100,71,0.7100000000,0.7044612805,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\BGL_groups.csv,data\gtld\diversity_0_5\BGL\BGL.log
HPC,0.5,0.4999207522,-0.0000792478,26,18,0.6923076923,0.7221077532,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\HPC_groups.csv,data\gtld\diversity_0_5\HPC\HPC.log
Thunderbird,0.5,0.5000687335,0.0000687335,103,73,0.7087378641,0.7055764322,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_5\Thunderbird\Thunderbird.log
Windows,0.5,0.4997477961,-0.0002522039,30,21,0.7000000000,0.7139254231,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Windows_groups.csv,data\gtld\diversity_0_5\Windows\Windows.log
Linux,0.5,0.4999451129,-0.0000548871,71,50,0.7042253521,0.7099220603,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Linux_groups.csv,data\gtld\diversity_0_5\Linux\Linux.log
Android,0.5,0.4999432035,-0.0000567965,109,77,0.7064220183,0.7077118076,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Android_groups.csv,data\gtld\diversity_0_5\Android\Android.log
HealthApp,0.5,0.5000000000,-0.0000000000,51,36,0.7058823529,0.7083333333,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_5\HealthApp\HealthApp.log
Apache,0.5,0.5000000000,0.0000000000,6,4,0.6666666667,0.7500000000,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Apache_groups.csv,data\gtld\diversity_0_5\Apache\Apache.log
OpenSSH,0.5,0.5001349431,0.0001349431,24,17,0.7083333333,0.7060728608,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_5\OpenSSH\OpenSSH.log
OpenStack,0.5,0.4999692374,-0.0000307626,41,29,0.7073170732,0.7068530598,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_5\OpenStack\OpenStack.log
Mac,0.5,0.4999155747,-0.0000844253,235,166,0.7063829787,0.7077118076,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Mac_groups.csv,data\gtld\diversity_0_5\Mac\Mac.log
Proxifier,0.5,0.5000000000,0.0000000000,8,6,0.7500000000,0.6666666667,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_5\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_5\Proxifier\Proxifier.log
