dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.2,0.2000560552,0.0000560552,14,6,0.4285714286,0.4667974622,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\HDFS_groups.csv,data\gtld\diversity_0_2\HDFS\HDFS.log
Hadoop,0.2,0.1999514321,-0.0000485679,88,39,0.4431818182,0.4511724622,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_2\Hadoop\Hadoop.log
Spark,0.2,0.2003648490,0.0003648490,24,11,0.4583333333,0.4371596705,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Spark_groups.csv,data\gtld\diversity_0_2\Spark\Spark.log
Zookeeper,0.2,0.2002315192,0.0002315192,38,17,0.4473684211,0.4475763371,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_2\Zookeeper\Zookeeper.log
BGL,0.2,0.2000871170,0.0000871170,100,45,0.4500000000,0.4446380379,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\BGL_groups.csv,data\gtld\diversity_0_2\BGL\BGL.log
HPC,0.2,0.1999674579,-0.0000325421,26,12,0.4615384615,0.4332628254,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\HPC_groups.csv,data\gtld\diversity_0_2\HPC\HPC.log
Thunderbird,0.2,0.1999040301,-0.0000959699,103,46,0.4466019417,0.4476111978,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_2\Thunderbird\Thunderbird.log
Windows,0.2,0.2000219558,0.0000219558,30,13,0.4333333333,0.4615891288,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Windows_groups.csv,data\gtld\diversity_0_2\Windows\Windows.log
Linux,0.2,0.2001137774,0.0001137774,71,32,0.4507042254,0.4440024437,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Linux_groups.csv,data\gtld\diversity_0_2\Linux\Linux.log
Android,0.2,0.1998831546,-0.0001168454,109,49,0.4495412844,0.4446380379,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Android_groups.csv,data\gtld\diversity_0_2\Android\Android.log
HealthApp,0.2,0.1998999149,-0.0001000851,51,23,0.4509803922,0.4432563331,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_2\HealthApp\HealthApp.log
Apache,0.2,0.1999497892,-0.0000502108,6,3,0.5000000000,0.3998995784,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Apache_groups.csv,data\gtld\diversity_0_2\Apache\Apache.log
OpenSSH,0.2,0.2003648490,0.0003648490,24,11,0.4583333333,0.4371596705,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_2\OpenSSH\OpenSSH.log
OpenStack,0.2,0.1999180418,-0.0000819582,41,18,0.4390243902,0.4553688730,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_2\OpenStack\OpenStack.log
Mac,0.2,0.1999964926,-0.0000035074,235,105,0.4468085106,0.4476111978,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Mac_groups.csv,data\gtld\diversity_0_2\Mac\Mac.log
Proxifier,0.2,0.1999497892,-0.0000502108,8,4,0.5000000000,0.3998995784,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_2\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_2\Proxifier\Proxifier.log
