dataset,target_score,ground_truth_ld,target_error,group_count,active_groups,active_group_ratio,mean_active_group_ld,alpha,expected_lines,actual_lines,line_count_matches,group_report,data_file
HDFS,0.3,0.2999032650,-0.0000967350,14,8,0.5714285714,0.5248307137,0.5000,896,896,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\HDFS_groups.csv,data\gtld\diversity_0_3\HDFS\HDFS.log
Hadoop,0.3,0.2999896932,-0.0000103068,88,48,0.5454545455,0.5499811042,0.5000,5632,5632,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Hadoop_groups.csv,data\gtld\diversity_0_3\Hadoop\Hadoop.log
Spark,0.3,0.3001641350,0.0001641350,24,13,0.5416666667,0.5541491722,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Spark_groups.csv,data\gtld\diversity_0_3\Spark\Spark.log
Zookeeper,0.3,0.2999464228,-0.0000535772,38,21,0.5526315789,0.5427601937,0.5000,2432,2432,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Zookeeper_groups.csv,data\gtld\diversity_0_3\Zookeeper\Zookeeper.log
BGL,0.3,0.3001152259,0.0001152259,100,55,0.5500000000,0.5456640470,0.5000,6400,6400,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\BGL_groups.csv,data\gtld\diversity_0_3\BGL\BGL.log
HPC,0.3,0.3000801282,0.0000801282,26,14,0.5384615385,0.5572916667,0.5000,1664,1664,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\HPC_groups.csv,data\gtld\diversity_0_3\HPC\HPC.log
Thunderbird,0.3,0.3001432598,0.0001432598,103,56,0.5436893204,0.5520492099,0.5000,6592,6592,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Thunderbird_groups.csv,data\gtld\diversity_0_3\Thunderbird\Thunderbird.log
Windows,0.3,0.3000000000,0.0000000000,30,16,0.5333333333,0.5625000000,0.5000,1920,1920,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Windows_groups.csv,data\gtld\diversity_0_3\Windows\Windows.log
Linux,0.3,0.3000377503,0.0000377503,71,39,0.5492957746,0.5462225711,0.5000,4544,4544,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Linux_groups.csv,data\gtld\diversity_0_3\Linux\Linux.log
Android,0.3,0.2999507574,-0.0000492426,109,60,0.5504587156,0.5449105427,0.5000,6976,6976,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Android_groups.csv,data\gtld\diversity_0_3\Android\Android.log
HealthApp,0.3,0.3000214868,0.0000214868,51,28,0.5490196078,0.5464677082,0.5000,3264,3264,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\HealthApp_groups.csv,data\gtld\diversity_0_3\HealthApp\HealthApp.log
Apache,0.3,0.3000259302,0.0000259302,6,3,0.5000000000,0.6000518604,0.5000,384,384,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Apache_groups.csv,data\gtld\diversity_0_3\Apache\Apache.log
OpenSSH,0.3,0.3001641350,0.0001641350,24,13,0.5416666667,0.5541491722,0.5000,1536,1536,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\OpenSSH_groups.csv,data\gtld\diversity_0_3\OpenSSH\OpenSSH.log
OpenStack,0.3,0.2998738427,-0.0001261573,41,22,0.5365853659,0.5588557978,0.5000,2624,2624,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\OpenStack_groups.csv,data\gtld\diversity_0_3\OpenStack\OpenStack.log
Mac,0.3,0.2999758909,-0.0000241091,235,129,0.5489361702,0.5464677082,0.5000,15040,15040,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Mac_groups.csv,data\gtld\diversity_0_3\Mac\Mac.log
Proxifier,0.3,0.3000259302,0.0000259302,8,4,0.5000000000,0.6000518604,0.5000,512,512,1,results\ground_truth_diversity\build_reports\level_0_3\template_groups\Proxifier_groups.csv,data\gtld\diversity_0_3\Proxifier\Proxifier.log
