dataset,target_score,construction_mode,selected_templates,active_templates,requested_activation_ratio,activation_ratio,requested_entropy_per_active_slot,target_entropy_per_active_slot,achieved_entropy_per_active_slot,ground_truth_ld,output_lines,human_output_file,eval_output_file
HDFS,0.7,ground-truth,14,12,0.8366600265340756,0.8571428571428571,0.8166666666666667,0.8166666666666667,0.8163298827786963,0.6997113280960254,896,results\ground_truth_diversity\generated_logs\level_0_7\HDFS\HDFS.log,data\gtld\diversity_0_7\HDFS\HDFS.log
Hadoop,0.7,ground-truth,88,74,0.8366600265340756,0.8409090909090909,0.8324324324324324,0.8324324324324324,0.8319548827786967,0.6995984241548131,5632,results\ground_truth_diversity\generated_logs\level_0_7\Hadoop\Hadoop.log,data\gtld\diversity_0_7\Hadoop\Hadoop.log
Spark,0.7,ground-truth,24,20,0.8366600265340756,0.8333333333333334,0.8399999999999999,0.8399999999999999,0.8398182942595657,0.6998485785496381,1536,results\ground_truth_diversity\generated_logs\level_0_7\Spark\Spark.log,data\gtld\diversity_0_7\Spark\Spark.log
Zookeeper,0.7,ground-truth,38,32,0.8366600265340756,0.8421052631578947,0.83125,0.83125,0.8313674804631158,0.700098930916308,2432,results\ground_truth_diversity\generated_logs\level_0_7\Zookeeper\Zookeeper.log,data\gtld\diversity_0_7\Zookeeper\Zookeeper.log
BGL,0.7,ground-truth,100,84,0.8366600265340756,0.84,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.7,6400,results\ground_truth_diversity\generated_logs\level_0_7\BGL\BGL.log,data\gtld\diversity_0_7\BGL\BGL.log
HPC,0.7,ground-truth,26,22,0.8366600265340756,0.8461538461538461,0.8272727272727273,0.8272727272727273,0.8267465494453632,0.699554772607615,1664,results\ground_truth_diversity\generated_logs\level_0_7\HPC\HPC.log,data\gtld\diversity_0_7\HPC\HPC.log
Thunderbird,0.7,ground-truth,103,86,0.8366600265340756,0.8349514563106796,0.8383720930232558,0.8383720930232558,0.8384016984244534,0.7000247190728447,6592,results\ground_truth_diversity\generated_logs\level_0_7\Thunderbird\Thunderbird.log,data\gtld\diversity_0_7\Thunderbird\Thunderbird.log
Windows,0.7,ground-truth,30,25,0.8366600265340756,0.8333333333333334,0.8399999999999999,0.8399999999999999,0.8398182942595657,0.699848578549638,1920,results\ground_truth_diversity\generated_logs\level_0_7\Windows\Windows.log,data\gtld\diversity_0_7\Windows\Windows.log
Linux,0.7,ground-truth,71,59,0.8366600265340756,0.8309859154929577,0.8423728813559321,0.8423728813559321,0.8423715494453635,0.6999988932010768,4544,results\ground_truth_diversity\generated_logs\level_0_7\Linux\Linux.log,data\gtld\diversity_0_7\Linux\Linux.log
Android,0.7,ground-truth,109,91,0.8366600265340756,0.8348623853211009,0.8384615384615384,0.8384615384615384,0.8384016984244534,0.6999500418039014,6976,results\ground_truth_diversity\generated_logs\level_0_7\Android\Android.log,data\gtld\diversity_0_7\Android\Android.log
HealthApp,0.7,ground-truth,51,43,0.8366600265340756,0.8431372549019608,0.8302325581395348,0.8302325581395348,0.830158122528976,0.6999372405636465,3264,results\ground_truth_diversity\generated_logs\level_0_7\HealthApp\HealthApp.log,data\gtld\diversity_0_7\HealthApp\HealthApp.log
Apache,0.7,ground-truth,6,5,0.8366600265340756,0.8333333333333334,0.8399999999999999,0.8399999999999999,0.8398182942595657,0.6998485785496381,384,results\ground_truth_diversity\generated_logs\level_0_7\Apache\Apache.log,data\gtld\diversity_0_7\Apache\Apache.log
OpenSSH,0.7,ground-truth,24,20,0.8366600265340756,0.8333333333333334,0.8399999999999999,0.8399999999999999,0.8398182942595657,0.6998485785496381,1536,results\ground_truth_diversity\generated_logs\level_0_7\OpenSSH\OpenSSH.log,data\gtld\diversity_0_7\OpenSSH\OpenSSH.log
OpenStack,0.7,ground-truth,41,34,0.8366600265340756,0.8292682926829268,0.8441176470588235,0.8441176470588235,0.843750000000001,0.6996951219512204,2624,results\ground_truth_diversity\generated_logs\level_0_7\OpenStack\OpenStack.log,data\gtld\diversity_0_7\OpenStack\OpenStack.log
Mac,0.7,ground-truth,235,197,0.8366600265340756,0.8382978723404255,0.8350253807106599,0.8350253807106599,0.8351485184666507,0.7001032261188519,15040,results\ground_truth_diversity\generated_logs\level_0_7\Mac\Mac.log,data\gtld\diversity_0_7\Mac\Mac.log
Proxifier,0.7,ground-truth,8,7,0.8366600265340756,0.875,0.7999999999999999,0.7999999999999999,0.8005120861090431,0.7004480753454128,512,results\ground_truth_diversity\generated_logs\level_0_7\Proxifier\Proxifier.log,data\gtld\diversity_0_7\Proxifier\Proxifier.log
